S.No,Text,,,,,,,,,,,,,,,,,,,,,
10,"sir ,educated student jo study  complete kr chuke hain unko,ass pass greeb bacho ko educate krne ko bolen ,aur apne local chote industries walon k product ko no profit no loss k base pr sabhi mall, aur shopping centre main compulsry qouta rakhne ka policy banaye, local product ko prodution cost pe sale kr, aur badi company ka rate kuch % increase kr , local product k lye public ko atract kre aur,increased % cost se loss pora ho jayega, chote udyog ko sale ka fayda hoga aur survive krenge",,,,,,,,,,,,,,,,,,,,,
1,"Swachh Bharat abhiyaan needs more reforms. Public Badlne waali nahi jab tak niyam kaanoon aur kathor nahi banaye jaayengey. Fine should be imposed on public if proper decompose of waste in form of anything is not done like Spitting in Public, throwing waste on roads. Similarly authorities should be punished if proper rules are not followed on grounds as well.",,,,,,,,,,,,,,,,,,,,,
2,"sir, when you expect people to complaint in all respects we expect basic services from Govt dept. there are several issues against panchyat, electricity, IT depts. I can send those issues if really they can be resolved. Today I will give generic suggestion on accountability of govt depts. first of all depts need SLAs (like street light fix 1 day, drainage clearance 5 days max similarly if no response on Greavances with in specified days it should go to nxt level then nxt so on till your lvl",,,,,,,,,,,,,,,,,,,,,
3,"Respected Sir,As we all know that we have a huge problem of traffic in all the metros and non metro cities. And as we are growing in numbers, it will be difficult to deal this issue in the current cinereous till the time we will not improve in our driving habits. Let everyone learn about driving and apply for the New Driving license from the beginning with new rules and regulations. Cancel all current driving licenses in phases and let people apply for the new license with proper test procedure",,,,,,,,,,,,,,,,,,,,,
4,"Respected PM Sahab
instead of ram mandir or masjid in ayodhya.. ek hospital jo sirf gareeb logo ke liye ho nishuklk khola jaaye. jisme swasth seva sabhi gareeb logo ko nishlulk pradan ki jaaye..
Bhagwaan aur allah dono he iss nek kaam ke liye apna aashirwaad/duaayein zaroor dengey..",,,,,,,,,,,,,,,,,,,,,
5,"Dear Sir,",,,,,,,,,,,,,,,,,,,,,
6,"Sir,
Why not take up the loan waiver issue of farmers all over India as farmers are affected through out India not in one or two states.  You are Prime Minister of whole of India and not of BJP ruled states.  Sir,Government should take loan waiver issue on all India basis as one time measure and settle it once for all.  Sir,thousands of crores of loan has been grabbed by millionaires of India then why not help the farmers our ANNDATA.  TARUN SHARMA",,,,,,,,,,,,,,,,,,,,,
7,"Prime Minister ji
Anything too much is bad. Similarly the too much increasing population of India is also bad for the progress of our nation. By keeping control over the population, whatever projects we implement, will give better results, otherwise whatever efforts we make, are going to be waste, without the expected results. as you are promoting many ""Abhiyans"",
Please introduce the ""Jana Sankhya Niyantran Abhiyan"" for the fast development of our nation. Also please read the attachments.",,,,,,,,,,,,,,,,,,,,,
8,"Minimum Two lane road should construct under Pradhan mantri gram sadak sogna. Presently roads in village are very narrow.Because as per Gandhiji Development of villages leads to development of country.
Thank you
Anand Patange",,,,,,,,,,,,,,,,,,,,,
9,"Dear Sir,
Why is the facility for exchange of SBN’s not available for the Overseas Citizens of India?
According to the website of the Embassy of India in The Hague an OCI holder should have the same rights as a NRI in financial and economic fields.
Kind regards,
M. Tewari",,,,,,,,,,,,,,,,,,,,,
10,"Respected Sir,
First of all thanks to GOD for giving us a Perfect Govt.",,,,,,,,,,,,,,,,,,,,,
1,Cont. I m sk das consultant engineer mechanical cont no -09319524727,,,,,,,,,,,,,,,,,,,,,
2,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
3,"Respected Sir,",,,,,,,,,,,,,,,,,,,,,
4,"Namaskar pm modi ji, First of all i regards you with all of my soul feelings. Sir I m a 64 years old professional consultant engineer in mechanical done various innovative jobs for industries like construction industry, sports industry and army etc under self capacity. I can provide plenty of ideas by which person can get self earning source/employment if I CD track to your wonderful platform ie KAUSHAL VIKAS KENDRAor any government work development at Meerut which will be convenient to me.",,,,,,,,,,,,,,,,,,,,,
5,"1.Many government schools have not computer learning courses.computer education may be made mandatory for digital india.so govt can introduce for student in every school.                          2.Indian constitution subject should be mandatory in every school.                                   3.Extracurricular activities like sports,yoga,environmental awareness,deshbhakti related awareness should be introduced in school in every saturday.",,,,,,,,,,,,,,,,,,,,,
6,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
7,Congrats 4 health policy to reduce MMR anaemia must b irradicated in tribal n urban slums 4 which i m working 4 last 20yrs i m retired ghnecologist the present strategies r inadequate.,,,,,,,,,,,,,,,,,,,,,
8,"SIR,",,,,,,,,,,,,,,,,,,,,,
9,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
10,PM Ji,,,,,,,,,,,,,,,,,,,,,
1,Respected PM Modi ji,,,,,,,,,,,,,,,,,,,,,
2,"Dear Modi ji - I'm writing today regarding our Kids TV Programmes  - how they are affecting our future Bharathians.
I'm a father of two kids (5 and 7 years old) and I'm concerned about the future of my kids, in current ecosystem. I've detailed my concerns in the attached document. I request you take appropriate action to secure our future generations.",,,,,,,,,,,,,,,,,,,,,
3,Govt .must takes the social farming whereas Govt should take all the small lands where farmers are not afford to cultivate.Govt can give rent to them and find our the people who are intrested to do the cultivation but do not have the land.Even if jamindar are intrested they can cultivate and give sufficient rent to the farmers.,,,,,,,,,,,,,,,,,,,,,
4,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
5,"Sir,
There is a need for radical change in mindset of our bureaucracy for speedy development and prompt reaction of executing machinery at grassroot level. The mindset of the officers of IAS/IPS cadre is obstructionist and not pro-active.",,,,,,,,,,,,,,,,,,,,,
6,"Sir i Have a lot of suggestion for Mann Ki Baat,first-India lot of people are uneducated and not even get the compensation which recd from Govt.The Govt. officials harrassed this people so getting compensation is difficult,please do something for this people.do all the payment only digital.look at the farmers first please make the water arrangement for every farmers so in summer he will get sufficient water and in rainy season the water will store.Only takes care of farmers first.",,,,,,,,,,,,,,,,,,,,,
7,"dear pm
modi ji,
1.i request for in maharashtra  farmer rising suicide thire loan .central gov any acton release loan tension.yogi gov up farmer loan mukti .but no acton MH gov bjp ,your parciality farmer of maharashtra.take action better life farmer.2.  international yoga day comeing soon i have request kuldip patil invite to naredra modi in kalamasare tal amalner dist jalgoan .for yoga day . your yoga with lack of people .plz come to kalmasare .",,,,,,,,,,,,,,,,,,,,,
8,Prime Minister Ji,,,,,,,,,,,,,,,,,,,,,
9,"Sir, Can We create a statute of Unity between Hindu, Muslim, Sikh, Christian at RAM JANAM BHUMI to represent that RAM-RAJYA? The statute will be of RAM, but architecture or design will be related to other religion. It will send great message to all over world.",,,,,,,,,,,,,,,,,,,,,
10,"#MannkiBaat
Kailasha Foundation (www.kailashafoundation.org) is a FREE, ONLINE portal for students suffering from lack of knowledge and information and provides free counselling, query solving, doubts discussion, topics by video lectures and articles from Primary to Masters, From each and every subject like law, engineering, journalism, medical, cinematography, psychology via own website, WhatsApp, twitter, LinkedIn and various methods by a team of dedicated professionals for #EducatedIndia.",,,,,,,,,,,,,,,,,,,,,
